
Frames	Subject0005:ARIEL X	Subject0005:ARIEL Y	Subject0005:ARIEL Z
   1	       2.013	    1605.102	     235.637
   2	       2.649	    1603.027	     238.756
   3	       3.276	    1601.063	     241.780
   4	       3.868	    1599.190	     244.749
   5	       4.456	    1597.418	     247.700
   6	       5.016	    1595.715	     250.669
   7	       5.532	    1594.085	     253.608
   8	       5.968	    1592.521	     256.526
   9	       6.388	    1590.974	     259.450
   12	       6.725	    1589.432	     262.375
